Quarter,# Commits,# PullRequests,# Issues,# NewCommitters,# NewIssueSubmitters,# NewPRSubmitters
Q1 2012,0,0,0,0,0,0
Q2 2012,0,0,0,0,0,0
Q3 2012,14,0,0,1,0,0
Q4 2012,31,0,0,1,0,0
Q1 2013,2,0,0,0,0,0
Q2 2013,0,0,0,0,0,0
Q3 2013,0,0,0,0,0,0
Q4 2013,0,0,0,0,0,0
Q1 2014,0,0,0,0,0,0
Q2 2014,0,0,0,0,0,0
Q3 2014,0,0,0,0,0,0
Q4 2014,0,0,0,0,0,0
Q1 2015,0,0,0,0,0,0
Q2 2015,0,0,0,0,0,0
Q3 2015,0,0,0,0,0,0
Q4 2015,0,0,0,0,0,0
Q1 2016,0,0,0,0,0,0
Q2 2016,0,0,0,0,0,0
Q3 2016,69,9,21,3,1,2
Q4 2016,2,1,3,1,1,2
Q1 2017,149,126,246,30,24,31
Q2 2017,348,201,411,10,5,8
Q3 2017,366,253,539,17,13,18
Q4 2017,131,139,320,7,15,24
Q1 2018,148,175,406,16,15,24
Q2 2018,56,55,97,2,0,6
Q3 2018,96,60,112,5,5,9
Q4 2018,82,66,166,13,15,34
Q1 2019,160,156,350,10,11,17
Q2 2019,4,7,13,0,0,0
Q3 2019,0,0,0,0,0,0
Q4 2019,0,0,0,0,0,0
