Quarter,# Commits,# PullRequests,# Issues,# NewCommitters,# NewIssueSubmitters,# NewPRSubmitters
Q1 2016,8,0,0,3,0,0
Q2 2016,0,0,0,0,0,0
Q3 2016,56,31,58,21,12,14
Q4 2016,305,202,376,35,28,37
Q1 2017,71,54,118,14,11,16
Q2 2017,137,110,215,8,4,9
Q3 2017,100,111,219,20,21,23
Q4 2017,33,46,81,13,16,17
Q1 2018,24,53,131,8,17,24
Q2 2018,132,113,248,11,4,8
Q3 2018,109,122,253,3,7,10
Q4 2018,24,33,106,12,16,51
Q1 2019,78,140,262,14,15,20
Q2 2019,0,0,0,0,0,0
Q3 2019,0,0,0,0,0,0
Q4 2019,0,0,0,0,0,0
