Quarter,# Commits,# Issues,# PullRequests,# NewCommitters,# NewIssueSubmitters,# NewPRSubmitters
Q1 2013,0,0,0,0,0,0
Q2 2013,78,0,0,1,0,0
Q3 2013,154,6,3,2,5,2
Q4 2013,94,24,14,9,16,9
Q1 2014,126,39,16,6,32,16
Q2 2014,33,29,18,11,25,15
Q3 2014,30,33,8,3,25,8
Q4 2014,38,39,14,3,30,11
Q1 2015,45,41,13,8,28,12
Q2 2015,37,33,9,4,31,7
Q3 2015,27,32,6,5,25,6
Q4 2015,80,50,14,9,38,12
Q1 2016,28,63,11,7,46,10
Q2 2016,29,26,4,2,20,3
Q3 2016,21,41,7,0,36,5
Q4 2016,34,52,17,6,42,14
Q1 2017,27,51,15,7,36,12
Q2 2017,28,47,14,4,33,6
Q3 2017,31,40,13,5,31,8
Q4 2017,57,39,20,5,25,9
Q1 2018,44,65,24,10,37,10
Q2 2018,26,54,17,8,38,9
Q3 2018,10,35,7,3,27,4
Q4 2018,37,39,13,7,26,8
Q1 2019,4,19,8,4,13,8
Q2 2019,0,0,0,0,0,0
Q3 2019,0,0,0,0,0,0
Q4 2019,0,0,0,0,0,0
