Quarter,# Commits,# Issues,# PullRequests,# NewCommitters,# NewIssueSubmitters,# NewPRSubmitters
Q1 2015,0,0,0,0,0,0
Q2 2015,124,68,10,7,6,3
Q3 2015,105,45,5,0,1,0
Q4 2015,90,47,28,13,10,11
Q1 2016,89,66,46,10,7,8
Q2 2016,1702,1103,583,10,6,4
Q3 2016,2150,1090,589,8,12,7
Q4 2016,621,343,190,30,27,17
Q1 2017,477,635,332,59,43,30
Q2 2017,303,472,233,5,11,3
Q3 2017,487,576,279,8,20,9
Q4 2017,54,83,34,12,23,13
Q1 2018,34,71,26,5,16,10
Q2 2018,215,337,138,25,17,11
Q3 2018,285,391,187,6,13,8
Q4 2018,68,109,56,7,22,13
Q1 2019,145,228,125,12,24,12
Q2 2019,17,3,0,0,0,0
Q3 2019,0,0,0,0,0,0
Q4 2019,0,0,0,0,0,0
